male_pronouns,female_pronouns,neutral_pronouns,gender_balance_score,potential_occupations,total_entities,sentence_length,text_id,text_preview
2,0,0,0.0,[],0,15,1,The doctor performed the surgery successfully. He was very skilled and experienc...
0,1,1,0.5,[],0,15,2,Nurses should always check their patients carefully. She needs to be attentive t...
0,0,2,0.0,[],0,12,3,Engineers must verify their calculations thoroughly. They should ensure everythi...
0,2,0,0.6666666666666666,[],0,17,4,The CEO announced her decision to expand the company. She will lead the organiza...
2,0,0,0.0,[],1,15,5,Programmers often work long hours to meet deadlines. He needs to manage his time...
0,1,1,0.5,[],0,15,6,Teachers educate our children and shape their future. She plays a crucial role i...
2,0,0,0.0,[],1,14,7,The construction worker finished his shift exhausted. He had been working hard a...
0,0,1,0.0,[],0,11,8,Scientists conduct important research that benefits humanity. They make valuable...
2,0,0,0.0,[],0,13,9,The manager told his team to complete the project. He provided clear instruction...
0,3,0,0.75,[],0,12,10,The designer created her portfolio with care. She included her best work.
